"contrast","group","estimate","SE","df","t.ratio","p.value"
"Baseline - Day.10","Mindfulness",-1.82758620689657,0.68517352603747,60,-2.66733336511987,0.026179283900816
"Baseline - Day.30","Mindfulness",-3.51724137931035,0.82933172474579,60,-4.24105490524732,0.000227911080120213
"Day.10 - Day.30","Mindfulness",-1.68965517241378,0.754192133843279,60,-2.24035109436039,0.0725799400811374
"Baseline - Day.10","Wait-list",-0.0909090909091019,0.64230692329918,60,-0.141535281049364,0.989018902005407
"Baseline - Day.30","Wait-list",-0.212121212121214,0.777446133385399,60,-0.27284361322569,0.959821229629009
"Day.10 - Day.30","Wait-list",-0.121212121212112,0.707007510735068,60,-0.171443894685206,0.983930709772224
