"Effect","df","MSE","F","ges","p.value"
"group","1, 60","43.92","15.38 ***",".136","<.001"
"time","1.65, 99.14","16.64","3.39 *",".021",".046"
"group:time","1.65, 99.14","16.64","22.37 ***",".125","<.001"
