"Effect","df","MSE","F","ges","p.value"
"group","1, 60","281.79","0.43",".006",".512"
"time","1.61, 96.41","41.75","10.20 ***",".032","<.001"
"group:time","1.61, 96.41","41.75","5.91 **",".019",".007"
