"group","time","Mean","SD","N","SE"
"Mindfulness","Baseline",16.6842105263158,5.25102442081489,38,0.85182864393693
"Mindfulness","Day 10",14.8709677419355,4.73808636113689,31,0.850985431920934
"Mindfulness","Day 30",11.4137931034483,5.63482311409095,29,1.04636038373899
"Wait-list","Baseline",17.7941176470588,5.56384111794539,34,0.954190879685348
"Wait-list","Day 10",16.5757575757576,4.73702374275176,33,0.824609989344714
"Wait-list","Day 30",20.3636363636364,3.20953834120055,33,0.55870891113613
