"contrast","time","estimate","SE","df","t.ratio","p.value"
"Mindfulness - (Wait-list)","Baseline",-0.373040752351098,1.39424492867365,60,-0.267557546510836,0.789957515892981
"Mindfulness - (Wait-list)","Day.10",1.36363636363637,1.25024173591115,60,1.09069816217788,0.27976656188135
"Mindfulness - (Wait-list)","Day.30",2.93207941483804,1.34294203070715,60,2.18332537651986,0.0329342385669089
