"group","time","Mean","SD","N","SE"
"Mindfulness","Baseline",74.6842105263158,11.4067435321627,38,1.85041814626156
"Mindfulness","Day 10",76.6451612903226,10.4100860934537,31,1.86970665693948
"Mindfulness","Day 30",81.8620689655172,10.1373571433691,29,1.88245996295948
"Wait-list","Baseline",75.1470588235294,10.9879613267269,34,1.88441982113428
"Wait-list","Day 10",76.3939393939394,11.9214601505525,33,2.07525983857745
"Wait-list","Day 30",76.2424242424242,9.09680679905834,33,1.58355080426193
