"contrast","time","estimate","SE","df","t.ratio","p.value"
"Mindfulness - (Wait-list)","Baseline",-1.31034482758621,2.89318981890521,60,-0.452906621965802,0.65224954317795
"Mindfulness - (Wait-list)","Day.10",0.571577847439922,2.87496413715446,60,0.198812166055626,0.843081841175332
"Mindfulness - (Wait-list)","Day.30",5.61964472309301,2.44258896842531,60,2.30069192800616,0.0249005593125578
