"group","time","Mean","SD","N","SE"
"Mindfulness","Baseline",24.1842105263158,5.72738921304673,38,0.92910521750944
"Mindfulness","Day 10",25.9032258064516,4.10166501727999,31,0.73668078424123
"Mindfulness","Day 30",27.6896551724138,4.75171734575934,29,0.882371759442543
"Wait-list","Baseline",24.6176470588235,5.4828366131231,34,0.940298721718157
"Wait-list","Day 10",24.6363636363636,5.44184126593531,33,0.947302971657005
"Wait-list","Day 30",24.7575757575758,5.69555914194506,33,0.991469584786842
