"contrast","group","estimate","SE","df","t.ratio","p.value"
"Baseline - Day.10","Mindfulness",-3.27586206896554,1.15262615968105,60,-2.84208547710911,0.0166013573905816
"Baseline - Day.30","Mindfulness",-8.17241379310351,1.81946666069071,60,-4.49165349916392,9.61031933434109e-05
"Day.10 - Day.30","Mindfulness",-4.89655172413796,1.51675168627716,60,-3.22831467302103,0.00565179552830708
"Baseline - Day.10","Wait-list",-1.39393939393941,1.08051425544775,60,-1.29007034096166,0.406268300169318
"Baseline - Day.30","Wait-list",-1.24242424242428,1.70563512521027,60,-0.728423227254492,0.747674083265614
"Day.10 - Day.30","Wait-list",0.151515151515127,1.42185894813492,60,0.106561309554561,0.993759847423803
