"contrast","time","estimate","SE","df","t.ratio","p.value"
"Mindfulness - (Wait-list)","Baseline",-0.830721003134801,1.3465423088506,60,-0.616929002285789,0.539615627629496
"Mindfulness - (Wait-list)","Day.10",-1.67920585161965,1.22366736843362,60,-1.37227313152033,0.175087058142212
"Mindfulness - (Wait-list)","Day.30",-8.94984326018809,1.14711632817569,60,-7.80203632391967,1.06694624447349e-10
