"contrast","group","estimate","SE","df","t.ratio","p.value"
"Baseline - Day.10","Mindfulness",1.99999999999999,0.749038626845866,60,2.6700892695238,0.0259961841590084
"Baseline - Day.30","Mindfulness",5.48275862068964,1.14592675513328,60,4.78456288425864,3.40829300063961e-05
"Day.10 - Day.30","Mindfulness",3.48275862068966,0.984581284136625,60,3.53729923247899,0.00223981638418047
"Baseline - Day.10","Wait-list",1.15151515151514,0.702176423283612,60,1.63992283610189,0.237022385074312
"Baseline - Day.30","Wait-list",-2.63636363636365,1.07423398664066,60,-2.45418006612141,0.0443094295400044
"Day.10 - Day.30","Wait-list",-3.78787878787879,0.922982793875734,60,-4.10395384725749,0.0003618538350596
